word,total_count,total_frequency,trump_count,trump_frequency,obama_frequency,obama_count,syllable
president,3592,0.006596539,1325,0.003018478,0.021474921,2267,3
great,3556,0.006530426,3494,0.007959669,0.000587316,62,1
obama,2460,0.004517674,317,0.000722157,0.020300289,2143,3
all,2183,0.004008977,1895,0.004316993,0.002728177,288,1
people,2060,0.003783093,1767,0.004025396,0.002775541,293,2
thank,1464,0.002688567,1406,0.003203003,0.000549425,58,1
news,1353,0.002484721,1295,0.002950135,0.000549425,58,1
country,1347,0.002473702,1162,0.002647148,0.001752475,185,2
big,1280,0.00235066,1208,0.00275194,0.000682044,72,1
get,1273,0.002337804,979,0.002230256,0.002785014,294,1
fake,1172,0.002152323,1172,0.002669929,0,0,1
democrats,1167,0.00214314,1151,0.002622089,0.000151565,16,3
new,1127,0.002069682,934,0.002127742,0.001828257,193,1
would,1122,0.0020605,957,0.002180138,0.001563018,165,1
time,1065,0.001955822,729,0.001660732,0.003182873,336,1
today,1049,0.001926439,704,0.00160378,0.003268129,345,2
america,1046,0.00192093,760,0.001731353,0.002709231,286,4
many,1037,0.001904402,991,0.002257593,0.00043575,46,2
trump,1025,0.001882364,1025,0.002335049,0,0,1
make,977,0.001794214,637,0.001451147,0.003220764,340,1
never,975,0.001790542,915,0.002084458,0.00056837,60,2
vote,964,0.001770341,768,0.001749578,0.001856676,196,1
one,936,0.00171892,670,0.001526325,0.002519775,266,1
want,907,0.001665663,738,0.001681235,0.001600909,169,1
years,891,0.001636279,717,0.001633395,0.001648274,174,1
american,889,0.001632607,662,0.0015081,0.002150334,227,4
states,838,0.001538947,729,0.001660732,0.001032539,109,1
back,837,0.001537111,652,0.001485319,0.001752475,185,1
election,830,0.001524256,719,0.001637951,0.001051485,111,3
good,816,0.001498546,715,0.001628839,0.000956757,101,1
much,806,0.001480181,760,0.001731353,0.00043575,46,1
even,796,0.001461816,748,0.001704016,0.000454696,48,2
jobs,793,0.001456307,511,0.001164107,0.00267134,282,1
going,786,0.001443452,653,0.001487597,0.001259887,133,1
like,777,0.001426924,655,0.001492153,0.001155686,122,1
job,758,0.001392031,637,0.001451147,0.001146213,121,1
done,743,0.001364484,662,0.0015081,0.0007673,81,1
border,716,0.0013149,716,0.001631117,0,0,2
congress,702,0.00128919,349,0.000795056,0.003343911,353,2
state,696,0.001278171,625,0.00142381,0.000672571,71,1
house,684,0.001256134,567,0.001291681,0.001108322,117,1
media,684,0.001256134,684,0.001558218,0,0,2
united,671,0.00123226,609,0.001387361,0.000587316,62,2
must,661,0.001213895,625,0.00142381,0.000341022,36,1
because,655,0.001202877,529,0.001205113,0.001193577,126,2
china,653,0.001199204,639,0.001455704,0.00013262,14,2
day,649,0.001191858,425,0.000968191,0.002121915,224,1
win,643,0.001180839,574,0.001307627,0.000653626,69,1
nothing,634,0.001164311,597,0.001360024,0.000350495,37,2
way,624,0.001145947,550,0.001252953,0.00070099,74,1
first,608,0.001116563,457,0.00104109,0.001430398,151,1
work,592,0.00108718,373,0.00084973,0.002074551,219,1
see,588,0.001079834,496,0.001129936,0.000871501,92,1
go,579,0.001063306,425,0.000968191,0.001458817,154,1
military,560,0.001028414,548,0.001248397,0.000113674,12,4
republican,558,0.001024741,503,0.001145882,0.000521006,55,4
economy,557,0.001022904,344,0.000783665,0.002017714,213,4
biden,555,0.001019231,519,0.001182332,0.000341022,36,2
help,553,0.001015558,335,0.000763162,0.002065078,218,1
last,551,0.001011886,387,0.000881623,0.001553545,164,1
americans,551,0.001011886,203,0.000462454,0.003296547,348,4
got,549,0.001008213,403,0.000918073,0.001383034,146,1
made,545,0.001000867,469,0.001068427,0.000719936,76,1
ever,543,0.000997194,493,0.001123101,0.000473642,50,2
total,543,0.000997194,538,0.001225616,4.74E-05,5,2
bad,541,0.000993521,530,0.001207391,0.000104201,11,1
tax,534,0.000980666,313,0.000713044,0.002093497,221,1
year,532,0.000976993,343,0.000781387,0.001790366,189,1
before,528,0.000969647,433,0.000986416,0.000899919,95,2
said,526,0.000965974,447,0.001018309,0.000748354,79,1
need,525,0.000964138,322,0.000733547,0.001922986,203,1
world,516,0.00094761,433,0.000986416,0.000786245,83,1
history,509,0.000934755,476,0.001084374,0.000312604,33,3
strong,506,0.000929245,462,0.001052481,0.000416805,44,1
working,492,0.000903535,406,0.000924907,0.000814664,86,2
joe,489,0.000898025,477,0.001086652,0.000113674,12,1
hard,487,0.000894353,402,0.000915795,0.000805191,85,1
dems,473,0.000868642,473,0.00107754,0,0,1
crime,472,0.000866806,468,0.001066149,3.79E-05,4,1
fact,471,0.000864969,248,0.000564968,0.002112443,223,1
well,467,0.000857623,404,0.000920351,0.000596789,63,1
support,466,0.000855787,271,0.000617364,0.001847203,195,2
republicans,462,0.000848441,402,0.000915795,0.00056837,60,4
far,449,0.000824567,419,0.000954522,0.000284185,30,1
right,446,0.000819058,303,0.000690263,0.001354616,143,1
health,446,0.000819058,46,0.000104792,0.003789135,400,1
against,445,0.000817222,406,0.000924907,0.000369441,39,2
look,437,0.00080253,361,0.000822393,0.000719936,76,1
watch,437,0.00080253,211,0.000480678,0.002140861,226,1
left,435,0.000798857,381,0.000867955,0.000511533,54,1
deal,432,0.000793348,412,0.000938576,0.000189457,20,1
wall,432,0.000793348,406,0.000924907,0.000246294,26,1
better,431,0.000791511,348,0.000792778,0.000786245,83,2
security,426,0.000782329,383,0.000872511,0.000407332,43,4
two,424,0.000778656,358,0.000815558,0.000625207,66,1
take,423,0.00077682,284,0.000646979,0.001316724,139,1
care,421,0.000773147,130,0.000296153,0.002756595,291,1
law,419,0.000769474,340,0.000774553,0.000748354,79,1
really,413,0.000758455,397,0.000904404,0.000151565,16,2
long,412,0.000756619,350,0.000797334,0.000587316,62,1
democrat,410,0.000752946,405,0.000922629,4.74E-05,5,3
keep,400,0.000734581,255,0.000580915,0.001373561,145,1
campaign,397,0.000729072,316,0.000719878,0.0007673,81,2
trade,396,0.000727235,392,0.000893014,3.79E-05,4,1
every,389,0.00071438,201,0.000457897,0.001780893,188,3
endorsement,389,0.00071438,388,0.000883901,9.47E-06,1,4
party,388,0.000712544,360,0.000820115,0.000265239,28,2
national,385,0.000707034,347,0.000790499,0.000359968,38,3
russia,384,0.000705198,382,0.000870233,1.89E-05,2,2
best,383,0.000703361,311,0.000708488,0.000682044,72,1
act,381,0.000699689,165,0.000375886,0.002046133,216,1
together,381,0.000699689,283,0.000644701,0.000928338,98,3
let,380,0.000697852,276,0.000628755,0.000985175,104,1
come,376,0.000690506,287,0.000653814,0.000843082,89,1
senate,374,0.000686833,295,0.000672038,0.000748354,79,2
women,368,0.000675815,154,0.000350827,0.002027187,214,2
usa,367,0.000673978,349,0.000795056,0.000170511,18,1
complete,363,0.000666632,354,0.000806446,8.53E-05,9,2
white,362,0.000664796,317,0.000722157,0.000426278,45,1
witch,360,0.000661123,360,0.000820115,0,0,1
always,359,0.000659287,324,0.000738103,0.000331549,35,2
change,354,0.000650104,115,0.000261981,0.002264008,239,1
hunt,353,0.000648268,353,0.000804168,0,0,1
forward,353,0.000648268,235,0.000535353,0.001117795,118,2
north,348,0.000639086,340,0.000774553,7.58E-05,8,1
say,347,0.000637249,247,0.00056269,0.000947284,100,1
cant,347,0.000637249,207,0.000471566,0.001326197,140,1
congratulations,347,0.000637249,330,0.000751772,0.000161038,17,5
getting,346,0.000635413,301,0.000685707,0.000426278,45,2
governor,341,0.00062623,318,0.000724435,0.000217875,23,3
honor,340,0.000624394,306,0.000697097,0.000322076,34,2
night,338,0.000620721,286,0.000651536,0.000492588,52,1
could,337,0.000618885,245,0.000558134,0.000871501,92,1
million,329,0.000604193,131,0.000298431,0.001875622,198,2
money,328,0.000602357,296,0.000674317,0.000303131,32,2
happy,326,0.000598684,227,0.000517128,0.000937811,99,2
bill,324,0.000595011,241,0.000549021,0.000786245,83,1
taxes,321,0.000589501,216,0.000492069,0.000994648,105,1
others,321,0.000589501,313,0.000713044,7.58E-05,8,2
pay,320,0.000587665,155,0.000353105,0.001563018,165,1
things,320,0.000587665,293,0.000667482,0.000255767,27,1
end,318,0.000583992,245,0.000558134,0.000691517,73,1
federal,318,0.000583992,269,0.000612808,0.000464169,49,3
coming,317,0.000582156,295,0.000672038,0.000208402,22,2
call,313,0.00057481,251,0.000571802,0.000587316,62,1
love,307,0.000563791,252,0.00057408,0.000521006,55,1
didnt,307,0.000563791,286,0.000651536,0.00019893,21,1
important,307,0.000563791,245,0.000558134,0.000587316,62,3
administration,303,0.000556445,288,0.000656092,0.000142093,15,5
stop,300,0.000550936,237,0.000539909,0.000596789,63,1
another,300,0.000550936,257,0.000585471,0.000407332,43,3
give,298,0.000547263,204,0.000464732,0.000890447,94,1
totally,298,0.000547263,297,0.000676595,9.47E-06,1,3
fight,297,0.000545426,192,0.000437394,0.000994648,105,1
dollars,297,0.000545426,283,0.000644701,0.00013262,14,2
collusion,296,0.00054359,296,0.000674317,0,0,3
record,295,0.000541754,262,0.000596861,0.000312604,33,2
believe,295,0.000541754,184,0.00041917,0.001051485,111,2
families,295,0.000541754,135,0.000307543,0.001515654,160,3
tonight,293,0.000538081,223,0.000508015,0.000663099,70,2
corrupt,292,0.000536244,292,0.000665204,0,0,2
washington,292,0.000536244,248,0.000564968,0.000416805,44,3
put,290,0.000532571,220,0.000501181,0.000663099,70,1
everyone,290,0.000532571,225,0.000512572,0.000615734,65,3
fbi,289,0.000530735,289,0.00065837,0,0,1
making,289,0.000530735,211,0.000480678,0.000738881,78,2
radical,288,0.000528898,288,0.000656092,0,0,3
looking,287,0.000527062,274,0.000624198,0.000123147,13,2
countries,287,0.000527062,278,0.000633311,8.53E-05,9,2
stand,286,0.000525226,155,0.000353105,0.001240942,131,1
since,285,0.000523389,202,0.000460175,0.000786245,83,1
thats,285,0.000523389,170,0.000387276,0.001089376,115,1
soon,284,0.000521553,279,0.000635589,4.74E-05,5,1
court,284,0.000521553,267,0.000608252,0.000161038,17,1
think,284,0.000521553,223,0.000508015,0.000577843,61,1
agree,283,0.000519716,92,0.000209585,0.001809312,191,2
thing,282,0.00051788,202,0.000460175,0.000757827,80,1
numbers,280,0.000514207,275,0.000626476,4.74E-05,5,2
report,279,0.00051237,267,0.000608252,0.000113674,12,2
romney,279,0.00051237,14,3.19E-05,0.002510302,265,2
reform,278,0.000510534,74,0.000168579,0.001932459,204,2
government,278,0.000510534,216,0.000492069,0.000587316,62,3
second,277,0.000508697,254,0.000578636,0.000217875,23,2
amendment,276,0.000506861,270,0.000615086,5.68E-05,6,3
immigration,276,0.000506861,199,0.000453341,0.000729408,77,4
story,275,0.000505025,240,0.000546743,0.000331549,35,2
nation,275,0.000505025,172,0.000391833,0.000975702,103,2
impeachment,274,0.000503188,274,0.000624198,0,0,3
high,272,0.000499515,242,0.000551299,0.000284185,30,1
family,271,0.000497679,170,0.000387276,0.000956757,101,3
im,268,0.000492169,130,0.000296153,0.001307251,138,1
order,266,0.000488496,262,0.000596861,3.79E-05,4,2
including,264,0.000484824,252,0.00057408,0.000113674,12,3
wrong,263,0.000482987,243,0.000553577,0.000189457,20,1
york,260,0.000477478,249,0.000567246,0.000104201,11,1
vets,260,0.000477478,258,0.000587749,1.89E-05,2,1
real,259,0.000475641,198,0.000451063,0.000577843,61,1
hillary,259,0.000475641,259,0.000590027,0,0,3
place,257,0.000471968,214,0.000487513,0.000407332,43,1
illegal,256,0.000470132,251,0.000571802,4.74E-05,5,3
plan,254,0.000466459,74,0.000168579,0.001705111,180,1
mueller,254,0.000466459,254,0.000578636,0,0,2
live,253,0.000464623,104,0.000236922,0.001411453,149,1
wonderful,253,0.000464623,251,0.000571802,1.89E-05,2,3
next,250,0.000459113,165,0.000375886,0.000805191,85,1
true,247,0.000453604,238,0.000542187,8.53E-05,9,1
hoax,246,0.000451767,244,0.000555856,1.89E-05,2,1
justice,246,0.000451767,223,0.000508015,0.000217875,23,2
meeting,245,0.000449931,232,0.000528518,0.000123147,13,2
florida,243,0.000446258,227,0.000517128,0.000151565,16,3
john,241,0.000442585,230,0.000523962,0.000104201,11,1
mexico,240,0.000440749,237,0.000539909,2.84E-05,3,3
show,239,0.000438912,190,0.000432838,0.000464169,49,1
incredible,239,0.000438912,232,0.000528518,6.63E-05,7,4
open,238,0.000437076,209,0.000476122,0.000274712,29,2
votes,235,0.000431566,213,0.000485235,0.000208402,22,1
korea,235,0.000431566,234,0.000533075,9.47E-06,1,2
days,234,0.00042973,132,0.000300709,0.000966229,102,1
political,232,0.000426057,221,0.000503459,0.000104201,11,4
future,231,0.000424221,144,0.000328046,0.000824137,87,2
companies,229,0.000420548,171,0.000389554,0.000549425,58,3
massive,228,0.000418711,224,0.000510294,3.79E-05,4,2
pennsylvania,228,0.000418711,223,0.000508015,4.74E-05,5,4
cuts,226,0.000415038,156,0.000355383,0.000663099,70,1
protect,225,0.000413202,188,0.000428282,0.000350495,37,2
book,224,0.000411365,224,0.000510294,0,0,1
home,223,0.000409529,152,0.000346271,0.000672571,71,1
nancy,222,0.000407693,222,0.000505737,0,0,2
senator,222,0.000407693,209,0.000476122,0.000123147,13,3
billion,222,0.000407693,184,0.00041917,0.000359968,38,2
millions,222,0.000407693,133,0.000302987,0.000843082,89,2
cut,221,0.000405856,131,0.000298431,0.000852555,90,1
times,220,0.00040402,191,0.000435116,0.000274712,29,1
happen,218,0.000400347,197,0.000448785,0.00019893,21,2
pelosi,218,0.000400347,218,0.000496625,0,0,3
fighting,217,0.00039851,134,0.000305265,0.000786245,83,2
tell,216,0.000396674,88,0.000200472,0.001212523,128,1
energy,214,0.000393001,144,0.000328046,0.000663099,70,3
clinton,214,0.000393001,190,0.000432838,0.000227348,24,2
full,213,0.000391164,171,0.000389554,0.000397859,42,1
still,213,0.000391164,112,0.000255147,0.000956757,101,1
life,212,0.000389328,150,0.000341714,0.000587316,62,1
thanks,211,0.000387492,111,0.000252869,0.000947284,100,1
congressman,211,0.000387492,208,0.000473844,2.84E-05,3,3
presidential,211,0.000387492,201,0.000457897,9.47E-05,10,4
youre,210,0.000385655,32,7.29E-05,0.001686165,178,1
already,210,0.000385655,181,0.000412335,0.000274712,29,3
economic,210,0.000385655,146,0.000332602,0.000606262,64,4
ago,209,0.000383819,144,0.000328046,0.000615734,65,1
ready,209,0.000383819,143,0.000325768,0.000625207,66,2
crooked,208,0.000381982,208,0.000473844,0,0,1
sure,207,0.000380146,72,0.000164023,0.001278833,135,1
office,207,0.000380146,158,0.000359939,0.000464169,49,2
read,205,0.000376473,141,0.000321212,0.000606262,64,1
lost,205,0.000376473,180,0.000410057,0.000236821,25,1
borders,205,0.000376473,205,0.00046701,0,0,2
sleepy,204,0.000374636,204,0.000464732,0,0,2
tremendous,204,0.000374636,203,0.000462454,9.47E-06,1,3
wont,199,0.000365454,147,0.00033488,0.000492588,52,1
tomorrow,199,0.000365454,146,0.000332602,0.00050206,53,3
case,198,0.000363618,176,0.000400945,0.000208402,22,1
crazy,198,0.000363618,198,0.000451063,0,0,2
remember,198,0.000363618,181,0.000412335,0.000161038,17,3
wants,197,0.000361781,173,0.000394111,0.000227348,24,1
tariffs,197,0.000361781,197,0.000448785,0,0,2
away,196,0.000359945,142,0.00032349,0.000511533,54,2
middle,196,0.000359945,63,0.00014352,0.001259887,133,2
without,196,0.000359945,149,0.000339436,0.000445223,47,2
trying,195,0.000358108,181,0.000412335,0.00013262,14,1
texas,194,0.000356272,185,0.000421448,8.53E-05,9,2
taking,194,0.000356272,150,0.000341714,0.000416805,44,2
yesterday,194,0.000356272,151,0.000343993,0.000407332,43,3
business,193,0.000354435,151,0.000343993,0.000397859,42,3
won,192,0.000352599,184,0.00041917,7.58E-05,8,1
workers,192,0.000352599,133,0.000302987,0.000558897,59,2
everything,192,0.000352599,164,0.000373608,0.000265239,28,4
run,191,0.000350762,182,0.000414614,8.53E-05,9,1
general,191,0.000350762,183,0.000416892,7.58E-05,8,3
man,190,0.000348926,165,0.000375886,0.000236821,25,1
number,190,0.000348926,172,0.000391833,0.000170511,18,2
insurance,190,0.000348926,39,8.88E-05,0.001430398,151,3
yet,189,0.00034709,163,0.00037133,0.000246294,26,1
rate,189,0.00034709,120,0.000273372,0.000653626,69,1
market,189,0.00034709,184,0.00041917,4.74E-05,5,2
may,188,0.000345253,159,0.000362217,0.000274712,29,1
proud,188,0.000345253,150,0.000341714,0.000359968,38,1
fast,186,0.00034158,180,0.000410057,5.68E-05,6,1
voting,186,0.00034158,145,0.000330324,0.000388386,41,2
anything,183,0.000336071,165,0.000375886,0.000170511,18,3
fair,182,0.000334234,110,0.000250591,0.000682044,72,1
carolina,182,0.000334234,175,0.000398667,6.63E-05,7,4
low,181,0.000332398,169,0.000384998,0.000113674,12,1
wow,181,0.000332398,180,0.000410057,9.47E-06,1,1
join,181,0.000332398,109,0.000248313,0.000682044,72,1
supreme,181,0.000332398,164,0.000373608,0.000161038,17,2
iran,180,0.000330562,174,0.000396389,5.68E-05,6,2
friends,180,0.000330562,98,0.000223253,0.000776773,82,1
system,178,0.000326889,118,0.000268815,0.00056837,60,2
continue,178,0.000326889,154,0.000350827,0.000227348,24,3
despite,178,0.000326889,167,0.000380442,0.000104201,11,2
lets,177,0.000325052,59,0.000134408,0.001117795,118,1
greatest,177,0.000325052,166,0.000378164,0.000104201,11,2
took,176,0.000323216,130,0.000296153,0.00043575,46,1
close,176,0.000323216,144,0.000328046,0.000303131,32,1
tough,176,0.000323216,156,0.000355383,0.000189457,20,1
small,176,0.000323216,119,0.000271093,0.000539952,57,1
paid,175,0.000321379,142,0.00032349,0.000312604,33,1
running,175,0.000321379,157,0.000357661,0.000170511,18,2
enforcement,174,0.000319543,171,0.000389554,2.84E-05,3,4
almost,173,0.000317706,157,0.000357661,0.000151565,16,2
farmers,173,0.000317706,173,0.000394111,0,0,2
terrible,173,0.000317706,172,0.000391833,9.47E-06,1,3
find,171,0.000314033,117,0.000266537,0.000511533,54,1
something,171,0.000314033,128,0.000291596,0.000407332,43,3
fraud,170,0.000312197,168,0.00038272,1.89E-05,2,1
beautiful,170,0.000312197,163,0.00037133,6.63E-05,7,4
mike,169,0.000310361,169,0.000384998,0,0,1
badly,169,0.000310361,168,0.00038272,9.47E-06,1,2
men,168,0.000308524,119,0.000271093,0.000464169,49,1
lives,168,0.000308524,132,0.000300709,0.000341022,36,1
loves,167,0.000306688,167,0.000380442,0,0,1
action,167,0.000306688,87,0.000198194,0.000757827,80,2
chance,166,0.000304851,81,0.000184526,0.000805191,85,1
biggest,166,0.000304851,152,0.000346271,0.00013262,14,2
weve,165,0.000303015,34,7.75E-05,0.001240942,131,1
week,165,0.000303015,109,0.000248313,0.000530479,56,1
war,164,0.000301178,108,0.000246034,0.000530479,56,1
hes,164,0.000301178,114,0.000259703,0.000473642,50,1
pass,164,0.000301178,77,0.000175413,0.000824137,87,1
phony,164,0.000301178,163,0.00037133,9.47E-06,1,2
georgia,164,0.000301178,164,0.000373608,0,0,2
safe,162,0.000297505,143,0.000325768,0.000179984,19,1
presidents,162,0.000297505,56,0.000127573,0.001004121,106,3
healthcare,162,0.000297505,160,0.000364495,1.89E-05,2,2
problem,161,0.000295669,147,0.00033488,0.00013262,14,2
poll,161,0.000295669,159,0.000362217,1.89E-05,2,1
start,160,0.000293832,135,0.000307543,0.000236821,25,1
comey,160,0.000293832,160,0.000364495,0,0,2
november,160,0.000293832,137,0.000312099,0.000217875,23,3
little,160,0.000293832,143,0.000325768,0.000161038,17,2
rigged,159,0.000291996,159,0.000362217,0,0,1
between,159,0.000291996,126,0.00028704,0.000312604,33,2
allowed,159,0.000291996,155,0.000353105,3.79E-05,4,2
power,158,0.00029016,114,0.000259703,0.000416805,44,2
class,158,0.00029016,36,8.20E-05,0.001155686,122,1
donald,157,0.000288323,157,0.000357661,0,0,2
schiff,157,0.000288323,157,0.000357661,0,0,1
special,156,0.000286487,134,0.000305265,0.000208402,22,2
called,156,0.000286487,143,0.000325768,0.000123147,13,1
early,155,0.00028465,131,0.000298431,0.000227348,24,2
stock,155,0.00028465,152,0.000346271,2.84E-05,3,1
around,155,0.00028465,121,0.00027565,0.000322076,34,2
morning,155,0.00028465,133,0.000302987,0.000208402,22,2
seen,154,0.000282814,134,0.000305265,0.000189457,20,1
michigan,154,0.000282814,149,0.000339436,4.74E-05,5,3
cannot,154,0.000282814,117,0.000266537,0.000350495,37,2
rally,154,0.000282814,140,0.000318933,0.00013262,14,2
mitt,153,0.000280977,16,3.64E-05,0.001297779,137,1
free,152,0.000279141,86,0.000195916,0.000625207,66,1
major,152,0.000279141,143,0.000325768,8.53E-05,9,2
months,152,0.000279141,94,0.000214141,0.000549425,58,1
hope,151,0.000277304,124,0.000282484,0.000255767,27,1
bring,151,0.000277304,122,0.000277928,0.000274712,29,1
leaders,151,0.000277304,128,0.000291596,0.000217875,23,2
person,150,0.000275468,123,0.000280206,0.000255767,27,2
ratings,150,0.000275468,150,0.000341714,0,0,2
fantastic,150,0.000275468,149,0.000339436,9.47E-06,1,3
southern,150,0.000275468,150,0.000341714,0,0,2
polls,150,0.000275468,139,0.000316655,0.000104201,11,1
use,149,0.000273631,126,0.00028704,0.000217875,23,1
sign,149,0.000273631,82,0.000186804,0.00063468,67,1
ohio,149,0.000273631,122,0.000277928,0.000255767,27,2
young,148,0.000271795,56,0.000127573,0.000871501,92,1
along,148,0.000271795,137,0.000312099,0.000104201,11,2
police,148,0.000271795,140,0.000318933,7.58E-05,8,2
nations,147,0.000269959,131,0.000298431,0.000151565,16,2
unemployment,147,0.000269959,112,0.000255147,0.000331549,35,4
highly,146,0.000268122,145,0.000330324,9.47E-06,1,2
possible,146,0.000268122,131,0.000298431,0.000142093,15,3
obamacare,146,0.000268122,87,0.000198194,0.000558897,59,4
statement,146,0.000268122,119,0.000271093,0.000255767,27,3
lot,145,0.000266286,116,0.000264259,0.000274712,29,1
via,145,0.000266286,126,0.00028704,0.000179984,19,1
talk,145,0.000266286,123,0.000280206,0.000208402,22,1
approval,145,0.000266286,145,0.000330324,0,0,3
thousands,145,0.000266286,129,0.000293874,0.000151565,16,2
secretary,145,0.000266286,128,0.000291596,0.000161038,17,4
part,144,0.000264449,105,0.0002392,0.000369441,39,1
team,143,0.000262613,109,0.000248313,0.000322076,34,1
given,143,0.000262613,136,0.000309821,6.63E-05,7,2
actually,143,0.000262613,130,0.000296153,0.000123147,13,3
fired,142,0.000260776,96,0.000218697,0.00043575,46,1
longer,142,0.000260776,112,0.000255147,0.000284185,30,2
victory,141,0.00025894,124,0.000282484,0.000161038,17,3
service,141,0.00025894,114,0.000259703,0.000255767,27,2
ballots,141,0.00025894,140,0.000318933,9.47E-06,1,2
name,140,0.000257103,47,0.000107071,0.000880974,93,1
scam,140,0.000257103,140,0.000318933,0,0,1
reason,140,0.000257103,113,0.000257425,0.000255767,27,2
heading,140,0.000257103,132,0.000300709,7.58E-05,8,2
progress,140,0.000257103,81,0.000184526,0.000558897,59,2
hit,140,0.000257103,130,0.000296153,9.47E-05,10,1
less,139,0.000255267,85,0.000193638,0.000511533,54,1
anyone,139,0.000255267,120,0.000273372,0.000179984,19,2
ask,137,0.000251594,86,0.000195916,0.000483115,51,1
raise,137,0.000251594,61,0.000138964,0.000719936,76,1
enjoy,137,0.000251594,134,0.000305265,2.84E-05,3,2
minister,137,0.000251594,135,0.000307543,1.89E-05,2,3
disaster,137,0.000251594,135,0.000307543,1.89E-05,2,3
god,136,0.000249758,130,0.000296153,5.68E-05,6,1
affordable,136,0.000249758,8,1.82E-05,0.001212523,128,4
california,136,0.000249758,129,0.000293874,6.63E-05,7,4
failed,135,0.000247921,117,0.000266537,0.000170511,18,1
quickly,135,0.000247921,132,0.000300709,2.84E-05,3,2
information,135,0.000247921,131,0.000298431,3.79E-05,4,4
matter,135,0.000247921,92,0.000209585,0.000407332,43,2
truly,134,0.000246085,128,0.000291596,5.68E-05,6,2
retweet,134,0.000246085,0,0,0.00126936,134,2
wisconsin,134,0.000246085,121,0.00027565,0.000123147,13,3
conference,134,0.000246085,125,0.000284762,8.53E-05,9,3
able,133,0.000244248,94,0.000214141,0.000369441,39,2
told,133,0.000244248,118,0.000268815,0.000142093,15,1
lower,133,0.000244248,94,0.000214141,0.000369441,39,2
large,133,0.000244248,131,0.000298431,1.89E-05,2,1
obamas,133,0.000244248,15,3.42E-05,0.001117795,118,3
zero,132,0.000242412,128,0.000291596,3.79E-05,4,2
higher,132,0.000242412,80,0.000182248,0.000492588,52,2
happening,132,0.000242412,104,0.000236922,0.000265239,28,3
move,131,0.000240575,75,0.000170857,0.000530479,56,1
used,131,0.000240575,118,0.000268815,0.000123147,13,1
worse,131,0.000240575,128,0.000291596,2.84E-05,3,1
prime,131,0.000240575,129,0.000293874,1.89E-05,2,1
asked,131,0.000240575,112,0.000255147,0.000179984,19,1
gone,130,0.000238739,124,0.000282484,5.68E-05,6,1
south,130,0.000238739,127,0.000289318,2.84E-05,3,1
signed,130,0.000238739,91,0.000207307,0.000369441,39,1
education,130,0.000238739,16,3.64E-05,0.001079903,114,4
immediately,130,0.000238739,127,0.000289318,2.84E-05,3,5
become,129,0.000236902,114,0.000259703,0.000142093,15,2
russian,129,0.000236902,129,0.000293874,0,0,2
decision,129,0.000236902,111,0.000252869,0.000170511,18,3
finally,129,0.000236902,113,0.000257425,0.000151565,16,3
drug,128,0.000235066,122,0.000277928,5.68E-05,6,1
gave,128,0.000235066,110,0.000250591,0.000170511,18,1
voted,128,0.000235066,93,0.000211863,0.000331549,35,1
press,128,0.000235066,118,0.000268815,9.47E-05,10,1
isnt,127,0.00023323,78,0.000177692,0.000464169,49,1
weak,127,0.00023323,126,0.00028704,9.47E-06,1,1
knows,127,0.00023323,109,0.000248313,0.000170511,18,1
climate,127,0.00023323,6,1.37E-05,0.001146213,121,2
businesses,127,0.00023323,62,0.000141242,0.000615734,65,3
guy,125,0.000229557,123,0.000280206,1.89E-05,2,1
else,125,0.000229557,116,0.000264259,8.53E-05,9,1
nice,125,0.000229557,125,0.000284762,0,0,1
moving,125,0.000229557,84,0.00019136,0.000388386,41,2
welcome,125,0.000229557,101,0.000230088,0.000227348,24,2
perhaps,125,0.000229557,125,0.000284762,0,0,2
top,124,0.00022772,85,0.000193638,0.000369441,39,1
level,124,0.00022772,111,0.000252869,0.000123147,13,2
words,124,0.00022772,109,0.000248313,0.000142093,15,1
growth,124,0.00022772,68,0.000154911,0.000530479,56,1
please,124,0.00022772,108,0.000246034,0.000151565,16,1
thought,124,0.00022772,118,0.000268815,5.68E-05,6,1
gun,123,0.000225884,25,5.70E-05,0.000928338,98,1
went,123,0.000225884,119,0.000271093,3.79E-05,4,1
build,123,0.000225884,99,0.000225532,0.000227348,24,1
james,123,0.000225884,122,0.000277928,9.47E-06,1,1
safety,123,0.000225884,116,0.000264259,6.63E-05,7,3
highest,123,0.000225884,113,0.000257425,9.47E-05,10,2
americas,123,0.000225884,71,0.000161745,0.000492588,52,4
allow,123,0.000225884,111,0.000252869,0.000113674,12,2
save,122,0.000224047,88,0.000200472,0.000322076,34,1
built,122,0.000224047,106,0.000241478,0.000151565,16,1
meet,121,0.000222211,73,0.000166301,0.000454696,48,1
taken,121,0.000222211,109,0.000248313,0.000113674,12,2
friend,121,0.000222211,104,0.000236922,0.000161038,17,1
stronger,121,0.000222211,100,0.00022781,0.00019893,21,2
voters,120,0.000220374,87,0.000198194,0.000312604,33,2
failing,120,0.000220374,119,0.000271093,9.47E-06,1,2
watching,120,0.000220374,111,0.000252869,8.53E-05,9,2
ridiculous,120,0.000220374,119,0.000271093,9.47E-06,1,4
politics,120,0.000220374,84,0.00019136,0.000341022,36,3
stay,119,0.000218538,91,0.000207307,0.000265239,28,1
smart,119,0.000218538,109,0.000248313,9.47E-05,10,1
agenda,119,0.000218538,109,0.000248313,9.47E-05,10,3
